,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
0,277.0,0.0,0.0,191.0,0.0,968.0,856.0,28,25.97
1,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
2,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38
3,366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.91
4,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
5,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
6,236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
7,387.0,20.0,94.0,157.0,14.3,938.0,845.0,7,36.84
8,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
9,287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94
10,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
11,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
12,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08
13,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
14,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,55.25
15,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
16,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
17,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
18,166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
19,141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
20,310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3
21,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
22,339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.16
23,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
24,288.0,192.0,0.0,192.0,0.0,932.0,717.8,3,16.11
25,277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
27,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
28,305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
29,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
30,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
31,446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77
32,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.2
33,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
34,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
35,150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.43
36,313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.46
37,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
38,160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
39,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
40,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
41,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
42,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
43,122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
44,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
45,277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
46,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
47,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
48,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,68.75
49,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
50,331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23
51,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
52,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
53,158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54
54,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
55,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
56,250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
57,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57
58,102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28
59,480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,24.39
60,236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,13.57
61,194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27
62,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77
63,193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2
64,145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
65,139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
66,164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03
67,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
68,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3
69,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
70,222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
71,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
72,310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
73,239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42
74,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
75,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
76,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37
77,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37
78,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
79,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
80,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
81,164.0,0.0,200.0,181.0,13.0,849.0,846.0,28,15.09
82,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
83,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
84,314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.46
85,273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
86,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84
87,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
88,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
89,140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23
90,277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.58
91,155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,23.79
92,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
93,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
94,135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
95,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
96,505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02
97,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0
98,321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.27
99,322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43
100,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4
101,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,44.09
102,313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
103,222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45
104,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
105,339.0,0.0,0.0,197.0,0.0,968.0,781.0,14,27.04
106,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
107,446.0,24.0,79.0,162.0,10.3,967.0,712.0,28,53.39
108,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.7
109,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
110,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59
111,159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
112,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
113,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
114,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,14.31
115,147.0,115.0,89.0,202.0,9.0,860.0,829.0,28,19.99
116,385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
117,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,38.7
118,277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
119,155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,18.28
120,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
121,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
122,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
123,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14,26.05
124,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
125,194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28
126,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
127,144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.34
128,144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2
129,424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
130,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37
131,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
132,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
133,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
134,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
135,312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.45
136,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
137,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
138,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43
139,254.0,0.0,0.0,198.0,0.0,968.0,863.0,180,27.63
140,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
141,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
142,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
143,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06
144,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
145,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
146,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.27
147,339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
148,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.9
149,288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
150,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
151,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3,41.64
152,331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24
153,238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69
154,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55
155,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89
156,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
157,307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,12.54
158,480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94
159,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
160,153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23
161,250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
162,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62
163,238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59
164,239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.44
165,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
166,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
167,132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
168,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
169,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
170,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69
171,132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
172,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
173,164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09
174,387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
175,318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06
176,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
177,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72
178,385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55
179,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95
180,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32
181,238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
182,500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13
183,331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61
184,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
185,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3
186,233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66
187,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
188,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
189,133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
190,151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35
191,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
192,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4
193,250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
194,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
195,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
196,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
197,272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25
198,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.4
199,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14,33.7
200,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,69.66
201,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100,56.81
202,192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,50.73
203,520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
204,266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
205,336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87
206,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
207,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.62
208,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1
209,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.48
210,166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
211,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71
212,298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
213,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
214,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
215,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84
216,339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22
217,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
218,237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63
219,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
220,238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
221,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
222,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
223,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
224,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
225,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
226,133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
227,314.0,145.3,113.2,178.9,8.0,869.1,690.2,28,46.23
228,307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.15
229,288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14
230,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02
231,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
232,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
233,331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
234,281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5
235,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
236,290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
237,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21
238,325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.24
239,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3,15.52
240,166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
241,322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.18
242,385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
243,150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28,37.43
244,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
245,350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
246,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
247,108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33
248,366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91
249,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
250,277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,41.89
251,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
252,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
253,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13
254,277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
255,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
256,491.0,26.0,123.0,210.0,3.9,882.0,699.0,7,33.49
257,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
258,149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96
259,300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.58
260,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
261,304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12
262,350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
263,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
264,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
265,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4
266,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05
267,284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13
268,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44
269,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
270,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
271,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
272,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
273,238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
274,116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.28
